"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"208","sp3","sp50",1,-0.134495822058599,NA,-0.140064309271248,0,20
"209","sp4","sp7",8,NA,NA,-0.0080597531097063,0,20
"210","sp4","sp28",4,NA,-0.00945005603415692,NA,0,20
"211","sp4","sp30",4,NA,-0.0391897740827176,NA,0,20
"212","sp4","sp30",8,NA,-0.0550384062243917,NA,0,20
"213","sp4","sp38",10,0.0100518591499071,NA,0.0146377941200824,0,20
"214","sp4","sp49",1,NA,0.0577585529465031,NA,0,20
"215","sp5","sp6",7,NA,-0.0492300797060559,NA,0,20
"216","sp5","sp11",4,-0.155767885149217,NA,-0.155740562802138,0,20
"217","sp5","sp12",4,0.00106912335793527,NA,0.000950538235060127,0,20
"218","sp5","sp23",10,0.0152981080574188,NA,0.0183764353936942,0,20
"219","sp5","sp28",1,-0.0261456955115463,NA,-0.018528908062816,0,20
"220","sp5","sp28",10,-0.000500469376571279,NA,-0.000403815005541268,0,20
"221","sp5","sp36",1,NA,-0.135561126858986,NA,0,20
"222","sp5","sp41",9,0.00221378167954034,NA,NA,0,20
"223","sp5","sp43",1,-0.00175822422170875,NA,-0.000735365314427548,0,20
"224","sp6","sp17",6,0.073819287746204,NA,0.0607191476604562,0,20
"225","sp6","sp18",8,NA,-0.000605991349890811,NA,0,20
"226","sp6","sp23",1,-0.137788860952177,NA,-0.153496626154616,0,20
"227","sp6","sp31",10,0.0190769624580654,NA,0.00665671641370513,0,20
"228","sp7","sp20",10,0.02228568905762,NA,0.025807096571364,0,20
"229","sp8","sp14",1,0.00169450718254044,NA,0.00293696744768969,0,20
"230","sp8","sp26",3,NA,0.00809880953567832,NA,0,20
"231","sp8","sp28",3,-0.0522334649892421,NA,-0.0329001809190025,0,20
"232","sp8","sp37",2,NA,0.00361147832364529,NA,0,20
"233","sp8","sp43",2,-0.0402229531321023,NA,-0.0432695499219166,0,20
"234","sp8","sp46",3,0.0073432694829697,NA,NA,0,20
"235","sp8","sp47",2,NA,-0.138632940066523,NA,0,20
"236","sp8","sp47",7,NA,-0.0796440968704225,NA,0,20
"237","sp8","sp50",1,0.00193609390849042,NA,0.00321555787358295,0,20
"238","sp9","sp17",2,-0.055558666148383,NA,-0.0558975614953677,0,20
"239","sp9","sp32",9,-0.0968174343469264,NA,-0.111340284274811,0,20
"240","sp10","sp11",2,NA,-0.0122543279304475,NA,0,20
"241","sp10","sp11",6,NA,-0.00213350229772979,NA,0,20
"242","sp10","sp11",9,NA,-0.0037549471997987,NA,0,20
"243","sp10","sp12",2,NA,0.162934479406656,NA,0,20
"244","sp10","sp12",3,NA,0.119512662031319,NA,0,20
"245","sp10","sp12",4,NA,0.0891150081428791,NA,0,20
"246","sp10","sp12",5,NA,0.143371950052779,NA,0,20
"247","sp10","sp12",7,NA,0.1491361253577,NA,0,20
"248","sp10","sp12",10,NA,0.0510130443849767,NA,0,20
"249","sp10","sp17",4,0.0363471224484092,NA,0.0317764624223968,0,20
"250","sp10","sp39",3,-0.0737177281429137,NA,-0.0592687102311709,0,20
"251","sp10","sp39",4,-0.00224547234650364,NA,-0.00201331574683983,0,20
"252","sp11","sp12",2,NA,-0.00127013110250551,NA,0,20
"253","sp11","sp12",4,-0.0109695328905656,NA,-0.00975388378563734,0,20
"254","sp11","sp12",9,NA,-0.0159795341744094,NA,0,20
"255","sp11","sp12",10,0.0865575904305389,NA,0.0867778334787006,0,20
"256","sp12","sp22",4,-0.00175138160982147,NA,-0.0162584304308186,0,20
"257","sp12","sp30",2,-0.0133340519569792,NA,-0.0273885291168243,0,20
"258","sp12","sp31",6,0.0228620442478052,NA,0.0237998643827602,0,20
"259","sp13","sp29",2,NA,0.218861826035941,NA,0,20
"260","sp13","sp29",3,NA,0.191069031346746,NA,0,20
"261","sp13","sp29",5,NA,0.121267886859287,NA,0,20
"262","sp13","sp29",6,NA,0.0609942805084164,NA,0,20
"263","sp13","sp29",7,NA,0.169570643611387,NA,0,20
