"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","SampleSize"
"117",5,0.0313437851792289,NA,NA,0,10
"118",8,NA,0.0250078081219132,NA,0,10
"119",4,0.0503435396555497,NA,0.120599115167069,0,10
"120",6,NA,NA,0.00258340799815204,0,10
"121",8,NA,NA,0.00150690902166173,0,10
"122",1,NA,NA,0.0168002607263219,0,10
"123",10,0.0387474395395319,NA,NA,0,10
"124",1,NA,NA,0.0149027432313815,0,10
"125",10,NA,0.00604568055955201,NA,0,10
"126",1,0.0181392938867841,NA,NA,0,10
"127",3,NA,NA,0.00162497663332519,0,10
"128",7,NA,NA,0.0249614603501982,0,10
"129",8,NA,NA,0.000226487192070132,0,10
"130",9,NA,NA,0.000384074391927757,0,10
"131",1,0.0501033922177069,NA,NA,0,10
"132",8,NA,-0.0127175867438195,-0.0497344248483732,2,10
"133",10,-0.0270405253406477,-0.0143654467139831,-0.0595341803212199,3,10
"134",5,NA,0.0368546788577441,NA,0,10
"135",10,NA,0.000622704439426972,0.000720709420552486,2,10
"136",1,NA,NA,-0.00754384198339943,0,10
"137",4,NA,NA,0.0868315102770785,0,10
"138",1,0.00050047190003811,NA,NA,0,10
"139",1,0.0336956583568261,0.100060990748591,NA,1,10
"140",7,0.0511635647086912,NA,NA,0,10
"141",4,NA,0.000413784102086988,0.000537522428335791,2,10
"142",10,NA,0.000980912473791692,NA,0,10
"143",4,NA,-0.0387898458391492,-0.051445466396462,2,10
"144",6,-0.0105287838613686,-0.0639376297825752,-0.00650600494586606,3,10
"145",10,-0.00608948981863222,-0.022629107777426,NA,1,10
"146",2,NA,-0.0175047651659713,NA,0,10
"147",3,-0.0572613367983394,NA,NA,0,10
"148",10,NA,NA,0.00733492713071415,0,10
"149",6,0.0443767933135941,0.0579359212707826,0.041224203423321,3,10
"150",9,0.0167694987466767,0.0332982687261689,0.0150987890661629,3,10
"151",10,NA,0.00601863411860615,NA,0,10
"152",7,-0.0345126082570109,-0.058910073268735,-0.074089068885529,3,10
"153",1,-0.000869187384304805,NA,NA,0,10
"154",2,-0.022978238652009,-0.077324008149896,-0.0392538303716673,3,10
"155",4,-0.00941175441151076,-0.0194023158097257,-0.0189079993839512,3,10
"156",8,NA,-0.00438389565210429,NA,0,10
"157",9,-0.101750357133065,-0.166637079389179,-0.124623610206377,3,10
"158",10,NA,-0.0783781463978969,-0.0221307944097914,2,10
"159",7,0.0455451439940249,0.00639845206075773,0.0370215629245368,3,10
"160",8,0.0589762249438438,0.0784302410241841,0.0649199224714068,3,10
"161",8,NA,-0.000666835887765187,NA,0,10
"162",10,NA,NA,-0.0267291145117041,0,10
"163",4,NA,NA,0.00127902718203532,0,10
"164",10,0.0123310612472781,NA,NA,0,10
"165",3,-0.00893167338836592,NA,NA,0,10
"166",8,NA,-0.0153525355590846,NA,0,10
"167",9,-0.0658676390674886,-0.0698288392841534,NA,1,10
"168",1,-0.222225985541689,-0.223809538693716,-0.152107164590234,3,20
"169",3,NA,-0.0267490451772833,NA,0,20
"170",7,NA,0.000428889215010203,NA,0,20
"171",7,NA,-0.0585902747873626,NA,0,20
"172",2,0.0171222359467817,NA,NA,0,20
"173",10,0.064778605848727,0.044571390258675,0.0379745859916281,3,20
"174",8,-0.00689710305784852,-0.015573259030625,NA,1,20
"175",2,0.0111303947401417,NA,NA,0,20
"176",3,0.0338648981678616,NA,NA,0,20
"177",10,0.0587062469837106,0.0148236485004882,NA,1,20
"178",10,0.00203347087033177,NA,NA,0,20
"179",2,-0.014318370937243,-0.0591129061161636,-0.023282361846744,3,20
"180",4,0.0240926416087411,0.0114734185714035,0.0151589455644947,3,20
"181",5,NA,0.00411055365636193,0.00407379314788503,2,20
"182",4,NA,NA,0.0205692336638328,0,20
"183",4,NA,NA,-0.0850606955861633,0,20
"184",8,NA,NA,-0.00527319903014309,0,20
"185",9,NA,NA,-0.000797516828024095,0,20
"186",4,NA,NA,-0.0314602859319147,0,20
"187",8,NA,NA,-0.00355483243963432,0,20
"188",9,NA,NA,-0.000692863691687069,0,20
"189",4,NA,NA,-0.0180145739391478,0,20
"190",8,-0.00106385656921589,NA,-0.00572822207390394,0,20
"191",9,NA,NA,-0.000640467253594313,0,20
"192",4,NA,NA,-0.00396089423486869,0,20
"193",9,NA,NA,-0.00125483224730965,0,20
"194",4,-0.000255541404090691,-0.00945005603415692,-0.110355477799262,3,20
"195",8,NA,NA,-0.00130553545844055,0,20
"196",9,NA,NA,-0.0031106299449082,0,20
"197",4,NA,NA,-0.000416633314609897,0,20
"198",4,-0.0190921957813894,-0.0391897740827176,-0.154112713196857,3,20
"199",8,-0.0660282773247658,-0.0550384062243917,-0.0543484793853568,3,20
"200",9,NA,NA,-0.0469095029220396,0,20
"201",1,0.0656858056808574,0.0577585529465031,0.030684635896404,3,20
"202",7,-0.00936532809696022,-0.0492300797060559,-0.0266671159899946,3,20
"203",1,NA,NA,-0.00027700950561255,0,20
"204",1,-0.095542119101587,-0.135561126858986,-0.0630651093450106,3,20
"205",1,0.00624544417215878,NA,0.0144063992902521,0,20
"206",8,-0.00325403613372766,-0.000605991349890811,NA,1,20
"207",9,0.00255605892521261,NA,NA,0,20
"208",3,NA,0.00809880953567832,NA,0,20
"209",2,0.00473844172022864,0.00361147832364529,NA,1,20
"210",10,0.026120039450366,NA,NA,0,20
"211",2,-0.161146952854524,-0.138632940066523,NA,1,20
"212",3,-0.0310234107351357,NA,NA,0,20
"213",7,-0.136459893680517,-0.0796440968704225,NA,1,20
"214",10,-0.0496800735206265,NA,NA,0,20
"215",4,NA,NA,-0.0473342223544748,0,20
"216",5,NA,NA,-0.0110910991516285,0,20
"217",8,NA,NA,-0.000281497861979357,0,20
"218",10,NA,NA,-0.0106221496712945,0,20
"219",4,NA,NA,-0.118456682367942,0,20
"220",5,NA,NA,-0.0581519008957727,0,20
"221",8,NA,NA,-0.0443564312794472,0,20
"222",10,NA,NA,-0.151293289506596,0,20
"223",4,NA,NA,-0.0169749960482089,0,20
"224",8,NA,NA,-0.00030578824421885,0,20
"225",10,NA,NA,-0.00113561005239107,0,20
"226",4,NA,NA,-0.00419649692881131,0,20
"227",10,NA,NA,-0.024652469776207,0,20
"228",4,NA,NA,-0.0886059637888477,0,20
"229",5,NA,NA,-0.011519054786309,0,20
"230",8,NA,NA,-0.00150642362338749,0,20
"231",9,NA,NA,-0.000355256960616653,0,20
"232",10,NA,NA,-0.0260501211131013,0,20
"233",4,NA,NA,-0.000441415579797442,0,20
"234",10,NA,NA,-0.00034486212743112,0,20
"235",4,NA,NA,-0.170232805679957,0,20
"236",5,NA,NA,-0.112374244657314,0,20
"237",8,NA,NA,-0.00290127125192494,0,20
"238",9,NA,NA,-0.00535741239789702,0,20
"239",10,NA,NA,-0.126656770291735,0,20
"240",9,-0.0411795847069152,NA,NA,0,20
"241",2,-0.0244902746189745,-0.0122543279304475,NA,1,20
"242",5,-0.0593511347432065,NA,-0.0747104366638031,0,20
"243",6,-0.0267550105215962,-0.00213350229772979,-0.0116593250499367,3,20
"244",9,-0.0390194278991535,-0.0037549471997987,-0.0171794346389688,3,20
"245",2,0.186362911953729,0.162934479406656,0.149420558647057,3,20
"246",3,0.145549540453207,0.119512662031319,0.116528383389963,3,20
"247",4,0.10536002884444,0.0891150081428791,0.106133507907396,3,20
"248",5,0.190593157973271,0.143371950052779,0.125389077703895,3,20
"249",7,0.108325365930554,0.1491361253577,0.140833775507493,3,20
"250",8,NA,NA,0.0182831557699754,0,20
"251",9,0.0143745907319242,NA,NA,0,20
"252",10,0.0401240958223751,0.0510130443849767,0.060171052066803,3,20
"253",3,NA,NA,-0.00360184304383615,0,20
"254",10,NA,NA,0.0122697160941083,0,20
"255",2,-0.00288459853316812,-0.00127013110250551,NA,1,20
"256",5,-0.00709016095201698,NA,-0.00583304772988653,0,20
"257",9,-0.000955390249700425,-0.0159795341744094,NA,1,20
"258",1,0.100041627805249,NA,NA,0,20
"259",3,-0.0285829830428665,NA,-0.0222901032887286,0,20
"260",3,-0.00062061266496422,NA,NA,0,20
"261",3,NA,NA,-0.0497240220072594,0,20
"262",3,NA,NA,-0.000278363722259975,0,20
"263",3,NA,NA,-0.00192272572315182,0,20
"264",10,NA,NA,0.00046230981224157,0,20
"265",2,0.184912427438183,0.218861826035941,NA,1,20
"266",3,0.212132916531361,0.191069031346746,NA,1,20
"267",5,0.113652000644279,0.121267886859287,NA,1,20
"268",6,0.0791696858279825,0.0609942805084164,NA,1,20
"269",7,0.155207013951501,0.169570643611387,NA,1,20
"270",8,0.0398450610260644,NA,NA,0,20
"271",9,0.189771072858256,0.206808448923077,NA,1,20
"272",1,NA,NA,0.00202156864192039,0,20
"273",1,NA,NA,0.00208262022177709,0,20
"274",1,NA,NA,0.000674339853645519,0,20
"275",1,NA,NA,0.00286520514135538,0,20
"276",1,NA,NA,0.0971694414501111,0,20
"277",1,NA,NA,0.000449145240937353,0,20
"278",10,-0.0371651450829411,-0.0495707859476389,NA,1,20
"279",10,-0.00020515179253816,NA,NA,0,20
"280",1,0.0229378591168291,NA,NA,0,20
"281",2,-0.0734100076309271,-0.0860532184435076,NA,1,20
"282",4,-0.149979054977475,-0.134893091180582,-0.0984188633957097,3,20
"283",6,-0.0734854940737414,-0.102039425747895,NA,1,20
"284",7,-0.124296589220365,-0.125421003251977,-0.108723219070417,3,20
"285",3,-0.00485925990915326,-0.00555605950356985,NA,1,20
"286",6,NA,-0.000532061188836735,NA,0,20
"287",7,-0.00154909944602102,NA,NA,0,20
"288",4,0.00453528049870814,0.00419833709519125,0.00253225180571296,3,20
"289",4,NA,NA,-0.00156323245163248,0,20
"290",5,NA,NA,-0.00188633501249945,0,20
"291",4,NA,NA,-0.0248778864945286,0,20
"292",5,NA,NA,-0.0472937650982463,0,20
"293",4,NA,NA,-0.00261682228711362,0,20
"294",5,NA,NA,-0.00186759522307575,0,20
"295",4,NA,NA,-0.000602390709683588,0,20
"296",2,-0.14405436606169,-0.154450806410151,-0.0816784345210231,3,20
"297",3,-0.0252635007429793,-0.0392686053570824,-0.0304155821657901,3,20
"298",4,-0.209826323487665,-0.210180676623189,-0.207767319874962,3,20
"299",5,-0.171896827857398,-0.172689429226071,-0.121655870638723,3,20
"300",6,-0.0497673649936244,-0.0609867993404167,-0.0573912255927445,3,20
"301",7,-0.109930177152348,-0.126776758893046,-0.0925065575087217,3,20
"302",8,-0.120656941719606,-0.120926127709518,-0.0743794845280242,3,20
"303",9,-0.100722264204804,-0.122879098585934,-0.0484505438964229,3,20
"304",10,-0.0345937252757818,-0.0435688853686398,NA,1,20
"305",7,-0.0470165762680158,-0.123472845539755,NA,1,20
"306",3,0.00922819900324634,0.0113536236634797,0.0124060543283969,3,20
"307",4,0.00966004072384596,0.0266888990881754,0.0229791755266023,3,20
"308",5,0.151610569913885,0.14117020917653,0.139227646342193,3,20
"309",6,0.140178175720712,0.122406680763808,0.112784681396803,3,20
"310",8,0.062321490114042,0.057768408517852,0.046664937209376,3,20
"311",10,0.102970125457999,0.103196110499425,0.112230189223265,3,20
"312",1,NA,-0.00143727008390178,NA,0,20
"313",7,-0.036308540160082,-0.0116020445435481,NA,1,20
"314",1,NA,NA,-0.0809972040942382,0,20
"315",1,NA,NA,-0.00307068590731722,0,20
"316",8,-0.0058968440263627,NA,NA,0,20
"317",1,NA,NA,-0.00760749584295865,0,20
"318",1,NA,NA,-0.00283520837657694,0,20
"319",1,NA,NA,-0.000405966693304049,0,20
"320",1,NA,NA,-0.00168511216123213,0,20
"321",7,0.00323828753160875,0.00987634298555668,NA,1,20
"322",3,NA,-0.000279187023748309,-0.000234561442546056,2,20
"323",4,-0.00126857063979983,-0.0125420919874082,-0.00299417251810169,3,20
"324",5,-0.0163349234676628,-0.015277626090362,-0.0105466151799894,3,20
"325",6,-0.00434555031148179,-0.00466030294260678,-0.00399207883069408,3,20
"326",8,-0.00471956686552311,-0.00438088566028012,-0.00215945764106188,3,20
"327",10,-0.00224660345111325,-0.00283338617303426,NA,1,20
"328",9,NA,NA,-0.022598137937151,0,20
"329",2,0.0611435416044096,0.0840844770121498,NA,1,20
"330",8,0.00176466656917513,0.00819751386353285,NA,1,20
"331",9,NA,NA,-0.000241124710395234,0,20
"332",2,NA,0.0685814616803485,NA,0,20
"333",6,0.0445909542280829,0.111674585920119,NA,1,20
"334",10,0.0302448353175931,0.0646854403620807,NA,1,20
"335",9,NA,NA,-0.000384194974661993,0,20
"336",2,NA,-0.00133844420156097,NA,0,20
"337",3,NA,NA,0.000245605969042501,0,20
"338",4,NA,NA,0.043813810618415,0,20
"339",5,NA,NA,0.0152187647020162,0,20
"340",6,NA,NA,0.000968413382833062,0,20
"341",7,NA,NA,0.00346035860945134,0,20
"342",8,NA,NA,0.0102004108314149,0,20
"343",9,NA,NA,0.000403126584771909,0,20
"344",10,NA,NA,0.00450649416122315,0,20
"345",3,NA,NA,0.00519444196730917,0,20
"346",4,NA,NA,0.121498238855638,0,20
"347",5,NA,NA,0.0214309028311205,0,20
"348",7,NA,NA,0.000276522577881937,0,20
"349",8,NA,NA,0.0164368418145217,0,20
"350",9,NA,NA,0.00122318325572677,0,20
"351",10,NA,NA,0.00118064112904777,0,20
"352",3,NA,NA,0.0464522683116656,0,20
"353",4,NA,NA,0.0122750674049427,0,20
