"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"76","sp15","sp31",7,-0.177122391230205,-0.178347239985883,-0.186944083828014,3,0.01
"77","sp15","sp31",8,-0.010151365012338,-0.0142251496431837,-0.0244432842231673,3,0.01
"78","sp15","sp31",9,-0.0414728461384281,-0.0392594779603861,-0.0625352759508251,3,0.01
"79","sp15","sp31",10,NA,NA,-0.00497390168044815,0,0.01
"80","sp15","sp35",3,-0.00317854315208084,-0.00272603212813354,-0.00295834388257229,3,0.01
"81","sp15","sp35",5,-0.00157477390029253,-0.00166943190832263,-0.00080458911158885,3,0.01
"82","sp15","sp40",5,NA,0.000358096287425645,NA,0,0.01
"83","sp15","sp45",3,NA,-0.0117395502115155,-0.00311949869280898,2,0.01
"84","sp15","sp47",3,0.0332142234678636,0.0115435679477003,0.0448405148253622,3,0.01
"85","sp15","sp47",5,0.000412244723569852,0.00354551806734708,0.000378100490274017,3,0.01
"86","sp15","sp47",7,0.0942371837810622,0.110283745394128,0.0994270544393955,3,0.01
"87","sp15","sp47",9,0.00340833989101625,0.00391932597454471,0.00616633348245528,3,0.01
"88","sp16","sp48",7,NA,0.00638087148474781,NA,0,0.01
"89","sp17","sp32",4,0.00444078180790008,NA,0.00297466986750955,0,0.01
"90","sp17","sp32",8,0.00928005644246816,0.00361604871314536,0.00514301376601226,3,0.01
"91","sp17","sp32",10,0.0231454087631446,0.0200443189460046,0.0136697534364136,3,0.01
"92","sp18","sp20",7,NA,-0.00973680682087957,-0.0108364006952296,2,0.01
"93","sp18","sp25",2,NA,-0.018475681047039,NA,0,0.01
"94","sp18","sp33",6,NA,0.0328889583901627,NA,0,0.01
"95","sp18","sp50",2,-0.0139776626350164,-0.0198306185565017,-0.0148517219478613,3,0.01
"96","sp18","sp50",3,-0.0253634336118464,-0.0181144669682718,-0.033588743925117,3,0.01
"97","sp18","sp50",6,-0.0011189912325338,-0.002455987114973,-0.00192062405275071,3,0.01
"98","sp18","sp50",8,-0.00440574486368682,-0.012165451225271,-0.00280746215929691,3,0.01
"99","sp18","sp50",10,-0.000540215216348763,-0.000228423455510598,-0.000585281322779622,3,0.01
"100","sp19","sp34",4,NA,-0.028696147295574,-0.00540432302098679,2,0.01
"101","sp19","sp34",6,-0.0111306772661412,-0.0241861667956018,-0.00779063428873233,3,0.01
"102","sp19","sp34",10,-0.0220432447394939,NA,-0.0113068943301869,0,0.01
"103","sp19","sp40",4,NA,0.000798172499281068,NA,0,0.01
"104","sp19","sp40",6,0.000542585762710133,0.00113803912153005,0.000314262178719699,3,0.01
"105","sp19","sp49",2,0.083465351463078,0.0686618827413985,0.049130183712475,3,0.01
"106","sp19","sp49",4,0.0107361652744521,0.0137241662369056,0.0127307302803263,3,0.01
"107","sp19","sp49",6,NA,0.0202684541925565,0.0138743876770625,2,0.01
"108","sp19","sp49",10,NA,NA,0.0246900295857755,0,0.01
"109","sp20","sp27",2,0.00711374968096795,NA,0.00281500626808323,0,0.01
"110","sp20","sp36",4,-0.0402548980864214,-0.0378676102396736,-0.038751270833308,3,0.01
"111","sp20","sp36",8,-0.0026558693159674,-0.00100671736000564,-0.000242929720644713,3,0.01
"112","sp20","sp36",9,-0.0443809922791533,-0.0245931248848643,-0.0368151933157476,3,0.01
"113","sp20","sp36",10,-0.0506782991258554,-0.0317411363278493,-0.0416743392963611,3,0.01
"114","sp21","sp40",1,-0.051939535081247,-0.0222658094990013,-0.0462811375481071,3,0.01
"115","sp21","sp43",2,NA,0.00245844765676689,NA,0,0.01
"116","sp21","sp43",3,0.00475975591694805,0.0370625854573332,0.0178255497374818,3,0.01
"117","sp21","sp43",4,NA,0.00888349472227395,NA,0,0.01
"118","sp21","sp43",6,0.0116888820465005,0.0245073727899805,0.0274308074474038,3,0.01
"119","sp21","sp43",10,NA,0.0084084896602668,NA,0,0.01
"120","sp22","sp44",2,NA,0.011635678740559,NA,0,0.01
"121","sp22","sp46",2,NA,0.000233744553673169,NA,0,0.01
"122","sp22","sp48",5,-0.0481075757317151,-0.0405011873223837,-0.0392609556398834,3,0.01
"123","sp23","sp27",2,NA,0.00386256735191121,NA,0,0.01
"124","sp23","sp31",5,NA,-0.000237675031107564,NA,0,0.01
"125","sp23","sp47",5,NA,0.0273324764625756,NA,0,0.01
"126","sp24","sp25",4,NA,0.0554344784376601,NA,0,0.01
"127","sp24","sp25",7,0.0302343795358075,0.00893396236962374,0.0466036379316779,3,0.01
"128","sp24","sp25",8,0.0263566891562599,0.0395125323225112,0.0357085779333021,3,0.01
"129","sp24","sp31",3,NA,0.000203665911411765,NA,0,0.01
"130","sp24","sp42",2,-0.0020589762238819,-0.00204011097988834,-0.00880446755983099,3,0.01
"131","sp24","sp42",4,NA,-0.0511982636917842,NA,0,0.01
"132","sp24","sp42",6,NA,-0.0148538505064537,NA,0,0.01
"133","sp25","sp42",4,NA,-0.00202090312614394,NA,0,0.01
"134","sp25","sp50",2,NA,0.000263731445019215,NA,0,0.01
"135","sp27","sp30",1,-0.000801974856490595,NA,NA,0,0.01
"136","sp27","sp39",1,-0.00238144987190047,-0.000546922683570746,-0.000860122519847597,3,0.01
"137","sp27","sp49",1,-0.0776006673360481,-0.0665679304286534,-0.0663403361489436,3,0.01
"138","sp28","sp30",2,NA,0.0380924681330873,NA,0,0.01
"139","sp28","sp30",3,0.114358365000548,0.033994694192405,0.124541705670315,3,0.01
"140","sp28","sp30",4,NA,0.00913386957565619,NA,0,0.01
"141","sp28","sp44",2,0.000344442830333555,NA,NA,0,0.01
"142","sp28","sp46",2,0.0117938083511672,NA,0.00669768789509849,0,0.01
"143","sp28","sp46",10,0.0384719896004201,NA,0.0288534300290069,0,0.01
"144","sp29","sp40",5,NA,0.000363105591362053,0.000510066055860739,2,0.01
"145","sp30","sp38",1,NA,-0.0277343334791131,NA,0,0.01
"146","sp30","sp39",1,0.000438168098355143,NA,NA,0,0.01
"147","sp30","sp49",1,0.014277914155964,NA,0.000363885196895383,0,0.01
"148","sp31","sp35",3,0.0579423841178562,0.0616579932316475,0.0483211243862708,3,0.01
"149","sp31","sp35",5,0.0600340784375136,0.0597862442545614,0.0364048233001195,3,0.01
"150","sp31","sp44",6,-0.0270099184346438,-0.0476556990613797,-0.0239622158274676,3,0.01
"151","sp31","sp45",3,NA,0.000519030694466425,NA,0,0.01
"152","sp31","sp45",6,NA,0.0320737867122908,0.0198321037674931,2,0.01
"153","sp31","sp47",3,-0.0355918607986955,-0.0124828599301334,-0.0395628798751269,3,0.01
"154","sp31","sp47",4,-0.0374694347713703,-0.017672609207513,-0.0269362052747064,3,0.01
"155","sp31","sp47",5,-0.0157157367579221,-0.0121859978974804,-0.0171077154038693,3,0.01
"156","sp31","sp47",6,-0.00673394797733578,-0.0158560695753929,NA,1,0.01
"157","sp31","sp47",7,-0.0119630299800783,-0.021390801538997,-0.013393026674889,3,0.01
"158","sp31","sp47",9,-0.114699055746419,-0.139512045217322,-0.137130042562565,3,0.01
"159","sp32","sp37",2,NA,0.0201563063357905,NA,0,0.01
"160","sp32","sp47",8,-0.0073934670191162,-0.00702183844352905,-0.00792546252958887,3,0.01
"161","sp34","sp40",2,-0.103134825807914,-0.0791611795984569,-0.0713192329400999,3,0.01
"162","sp34","sp40",4,-0.0775670041526359,-0.0390627550451938,-0.0502028491912613,3,0.01
"163","sp34","sp40",6,-0.0682420475704836,-0.0655590754148566,-0.0561960807068608,3,0.01
"164","sp34","sp40",9,-0.0264235700745832,-0.00897406875461004,NA,1,0.01
"165","sp34","sp43",4,0.000307477122566698,NA,NA,0,0.01
"166","sp34","sp49",4,NA,-0.000280427021933969,NA,0,0.01
"167","sp34","sp49",6,NA,-0.000351839827792188,NA,0,0.01
"168","sp34","sp49",10,NA,NA,-0.000200201528718894,0,0.01
"169","sp35","sp46",7,NA,NA,-0.000444921618873116,0,0.01
"170","sp35","sp47",3,-0.00147887724957453,-0.00055221105725148,-0.00137624577730681,3,0.01
"171","sp35","sp47",5,-0.000672451147247482,-0.000519883278138506,-0.000443335924558554,3,0.01
"172","sp37","sp38",3,NA,0.0227441164950273,NA,0,0.01
