"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"161",2,-0.103134825807914,-0.0791611795984569,-0.0713192329400999,3,0.01
"162",4,-0.0775670041526359,-0.0390627550451938,-0.0502028491912613,3,0.01
"163",6,-0.0682420475704836,-0.0655590754148566,-0.0561960807068608,3,0.01
"164",9,-0.0264235700745832,-0.00897406875461004,NA,1,0.01
"165",4,0.000307477122566698,NA,NA,0,0.01
"166",4,NA,-0.000280427021933969,NA,0,0.01
"167",6,NA,-0.000351839827792188,NA,0,0.01
"168",10,NA,NA,-0.000200201528718894,0,0.01
"169",7,NA,NA,-0.000444921618873116,0,0.01
"170",3,-0.00147887724957453,-0.00055221105725148,-0.00137624577730681,3,0.01
"171",5,-0.000672451147247482,-0.000519883278138506,-0.000443335924558554,3,0.01
"172",3,NA,0.0227441164950273,NA,0,0.01
"173",4,0.0317393193749905,0.0284499049545361,0.0261710223809143,3,0.01
"174",9,NA,NA,0.0071697073433854,0,0.01
"175",1,0.042398008569144,0.0113261823646,0.017856543241838,3,0.01
"176",4,-0.00557353120342163,NA,-0.00238929247062908,0,0.01
"177",7,NA,NA,0.0349013268438507,0,0.01
"178",6,NA,-0.00109703986500731,-0.000341121453232941,2,0.01
"179",2,0.0407733318661573,0.0279077344155351,0.0249554533441326,3,0.01
"180",6,NA,0.00054233510319721,NA,0,0.01
"181",6,NA,-0.000365008609025573,NA,0,0.01
"182",1,0.0288292888672889,NA,NA,0,0.01
"183",6,NA,-0.000643836398329579,NA,0,0.1
"184",7,-0.00724984920999411,NA,NA,0,0.1
"185",6,0.0236248226942653,0.0370895149514254,0.0305630355052513,3,0.1
"186",6,-0.0147968762750032,-0.0256395180185498,-0.0218591359127842,3,0.1
"187",4,0.0645927514429522,0.0675315428222813,0.0573767227247962,3,0.1
"188",7,0.0298352292935533,0.00859464291440409,0.0230303795363422,3,0.1
"189",1,NA,NA,-0.000533208595443924,0,0.1
"190",2,0.079905085946443,0.0609413877709756,0.0813243740958913,3,0.1
"191",6,0.0295053552416385,0.000942834000622071,0.0262336082283045,3,0.1
"192",10,0.0349993305363419,0.0257080684589641,0.0360982787784404,3,0.1
"193",7,-0.0503648411920609,-0.0514766007007585,-0.0551275000513061,3,0.1
"194",2,-0.0359906658067964,-0.0465067783938056,-0.0350429123359703,3,0.1
"195",7,NA,NA,0.0107861264302992,0,0.1
"196",5,NA,-0.0018281640716179,NA,0,0.1
"197",1,NA,NA,-0.00815421599218447,0,0.1
"198",7,0.0836957857096999,0.0824878413437733,0.100917697425362,3,0.1
"199",9,NA,0.0076984326366637,NA,0,0.1
"200",1,0.00078596542553877,NA,0.00671654531757597,0,0.1
"201",2,NA,-0.000238323536903378,NA,0,0.1
