"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","CovariateStrength"
"1",6,NA,-0.000643836398329579,NA,0,0.01
"2",7,-0.0070304158007497,NA,NA,0,0.01
"3",6,0.0231712970263825,0.0370895149514254,0.030482241804276,3,0.01
"4",6,-0.0141900780361498,-0.0256395180185498,-0.0216422247857782,3,0.01
"5",4,0.0646004570640603,0.0675315428222813,0.0570171875785411,3,0.01
"6",7,0.0297759123372437,0.00859464291440409,0.0230714044599942,3,0.01
"7",1,NA,NA,-0.000526901068008123,0,0.01
"8",2,0.0797740941711657,0.0609413877709756,0.0804227459884582,3,0.01
"9",6,0.0284420287689649,0.000942834000622071,0.027669826747166,3,0.01
"10",10,0.0356294936767948,0.0257080684589641,0.0368421180456823,3,0.01
"11",7,-0.0503581405750819,-0.0514766007007585,-0.0563278512763114,3,0.01
"12",2,-0.0360331781740666,-0.0465067783938056,-0.0350270722744426,3,0.01
"13",7,NA,NA,0.0109622042452615,0,0.01
"14",5,NA,-0.0018281640716179,NA,0,0.01
"15",1,NA,NA,-0.00723444973686244,0,0.01
"16",7,0.0837750172572624,0.0824878413437733,0.103200462196491,3,0.01
"17",9,NA,0.0076984326366637,NA,0,0.01
"18",1,0.000360320798203639,NA,0.00659306184759371,0,0.01
"19",2,NA,-0.000238323536903378,NA,0,0.01
"20",2,-0.013964512776978,-0.00869165792218014,-0.00739967358857962,3,0.01
"21",4,-0.0306175859835653,-0.019102767064433,-0.0226316399548783,3,0.01
"22",1,NA,NA,-0.00721244151748579,0,0.01
"23",3,NA,0.0498177546660803,0.00771177700879633,2,0.01
"24",7,-0.00112754642607738,NA,NA,0,0.01
"25",3,-0.0267890525511702,-0.0248094701247613,-0.0283935842799586,3,0.01
"26",6,-0.0434863557467505,-0.0667343804783059,-0.0611924744508117,3,0.01
"27",8,-0.0386274976329052,-0.0228980227139702,-0.0348520594142357,3,0.01
"28",9,NA,-0.00534717566616388,NA,0,0.01
"29",10,-0.073512931567942,-0.0474889773676084,-0.071630073065841,3,0.01
"30",5,0.000226508558265217,NA,NA,0,0.01
"31",6,NA,-0.00157527753859357,NA,0,0.01
"32",8,NA,-0.00798934507872462,NA,0,0.01
"33",5,-0.0202218891429114,-0.00325688129365097,-0.0107324940872989,3,0.01
"34",7,-0.0166942421395311,NA,NA,0,0.01
"35",3,0.102350536954668,0.0800888389116674,0.101194944495409,3,0.01
"36",4,0.068025904031432,0.0488249944674926,0.0665112248823204,3,0.01
"37",6,0.0360229201439503,0.0512765884437352,0.043725126710851,3,0.01
"38",8,0.0305397904781663,0.00807951976912632,0.022121303343603,3,0.01
"39",10,0.0102568812449367,0.00672970748369572,0.0113937536618099,3,0.01
"40",3,-0.0263233368899909,-0.0321792375414714,-0.0286383110096535,3,0.01
"41",2,-0.0263673082660726,-0.049175040952692,-0.0290520459649223,3,0.01
"42",10,-0.00561881739328907,-0.0173402474449444,-0.00530461675290528,3,0.01
"43",1,-0.019557271476149,-0.00760605500676653,-0.0228332709023987,3,0.01
"44",9,NA,NA,-0.00183683277016922,0,0.01
"45",3,NA,-0.00191764734336153,-0.00736360590444956,2,0.01
"46",9,-0.0570492212251051,-0.0707037523705647,-0.0730076193827805,3,0.01
"47",1,-0.00780941375576755,-0.013349343481223,-0.0345339925453787,3,0.01
"48",3,NA,NA,-0.00277333582498246,0,0.01
"49",3,NA,-0.000886754199396387,NA,0,0.01
"50",1,NA,0.00379172228451585,NA,0,0.01
"51",3,NA,0.00286258085612319,0.000561803383443705,2,0.01
"52",4,0.105723331204563,0.117230573679769,0.105395197859311,3,0.01
"53",5,0.00850924534309876,0.0367230607644284,0.00547116071050522,3,0.01
"54",7,NA,NA,0.0116128510499379,0,0.01
"55",10,0.0916395891987148,0.0924115110323694,0.0913311265205605,3,0.01
"56",2,0.0965368746545518,0.0392086660348167,0.102865757768761,3,0.01
"57",3,NA,0.00502642041813794,NA,0,0.01
"58",5,0.029459247033263,0.0372367688907166,0.0292616335227576,3,0.01
"59",6,0.0926032307749068,0.10240696458598,0.102360235007187,3,0.01
"60",9,0.0410211795812396,0.0235579140107184,0.0465824323156262,3,0.01
"61",5,-0.000223208847811893,-0.00102543068519816,NA,1,0.01
"62",7,NA,NA,-0.00156427468117476,0,0.01
"63",10,NA,NA,-0.000325775527260284,0,0.01
"64",5,0.0065994068488594,0.0136652464785773,0.0244875804451713,3,0.01
"65",7,NA,NA,0.000831966546886917,0,0.01
"66",8,-0.000218237744110477,NA,NA,0,0.01
"67",2,-0.0184612051256954,NA,-0.00719096948174614,0,0.01
"68",8,-0.0328831469220205,-0.0481084287163092,-0.0382064320183642,3,0.01
"69",8,NA,0.000242647117726351,0.000217228853821413,2,0.01
"70",3,NA,-0.00460656030343337,NA,0,0.01
"71",5,NA,0.000975785450807374,NA,0,0.01
"72",2,-0.0134930607686669,NA,-0.0199608243071933,0,0.01
"73",3,-0.0764974006085057,-0.0616225929808529,-0.085043388023731,3,0.01
"74",4,NA,-0.00207000470393064,-0.0010772482215854,2,0.01
"75",5,-0.0368037621343151,-0.0391312715378131,-0.0310479723740414,3,0.01
"76",7,-0.177122391230205,-0.178347239985883,-0.186944083828014,3,0.01
"77",8,-0.010151365012338,-0.0142251496431837,-0.0244432842231673,3,0.01
"78",9,-0.0414728461384281,-0.0392594779603861,-0.0625352759508251,3,0.01
"79",10,NA,NA,-0.00497390168044815,0,0.01
"80",3,-0.00317854315208084,-0.00272603212813354,-0.00295834388257229,3,0.01
"81",5,-0.00157477390029253,-0.00166943190832263,-0.00080458911158885,3,0.01
"82",5,NA,0.000358096287425645,NA,0,0.01
"83",3,NA,-0.0117395502115155,-0.00311949869280898,2,0.01
"84",3,0.0332142234678636,0.0115435679477003,0.0448405148253622,3,0.01
"85",5,0.000412244723569852,0.00354551806734708,0.000378100490274017,3,0.01
"86",7,0.0942371837810622,0.110283745394128,0.0994270544393955,3,0.01
"87",9,0.00340833989101625,0.00391932597454471,0.00616633348245528,3,0.01
"88",7,NA,0.00638087148474781,NA,0,0.01
"89",4,0.00444078180790008,NA,0.00297466986750955,0,0.01
"90",8,0.00928005644246816,0.00361604871314536,0.00514301376601226,3,0.01
"91",10,0.0231454087631446,0.0200443189460046,0.0136697534364136,3,0.01
"92",7,NA,-0.00973680682087957,-0.0108364006952296,2,0.01
"93",2,NA,-0.018475681047039,NA,0,0.01
"94",6,NA,0.0328889583901627,NA,0,0.01
"95",2,-0.0139776626350164,-0.0198306185565017,-0.0148517219478613,3,0.01
"96",3,-0.0253634336118464,-0.0181144669682718,-0.033588743925117,3,0.01
"97",6,-0.0011189912325338,-0.002455987114973,-0.00192062405275071,3,0.01
"98",8,-0.00440574486368682,-0.012165451225271,-0.00280746215929691,3,0.01
"99",10,-0.000540215216348763,-0.000228423455510598,-0.000585281322779622,3,0.01
"100",4,NA,-0.028696147295574,-0.00540432302098679,2,0.01
"101",6,-0.0111306772661412,-0.0241861667956018,-0.00779063428873233,3,0.01
"102",10,-0.0220432447394939,NA,-0.0113068943301869,0,0.01
"103",4,NA,0.000798172499281068,NA,0,0.01
"104",6,0.000542585762710133,0.00113803912153005,0.000314262178719699,3,0.01
"105",2,0.083465351463078,0.0686618827413985,0.049130183712475,3,0.01
"106",4,0.0107361652744521,0.0137241662369056,0.0127307302803263,3,0.01
"107",6,NA,0.0202684541925565,0.0138743876770625,2,0.01
"108",10,NA,NA,0.0246900295857755,0,0.01
"109",2,0.00711374968096795,NA,0.00281500626808323,0,0.01
"110",4,-0.0402548980864214,-0.0378676102396736,-0.038751270833308,3,0.01
"111",8,-0.0026558693159674,-0.00100671736000564,-0.000242929720644713,3,0.01
"112",9,-0.0443809922791533,-0.0245931248848643,-0.0368151933157476,3,0.01
"113",10,-0.0506782991258554,-0.0317411363278493,-0.0416743392963611,3,0.01
"114",1,-0.051939535081247,-0.0222658094990013,-0.0462811375481071,3,0.01
"115",2,NA,0.00245844765676689,NA,0,0.01
"116",3,0.00475975591694805,0.0370625854573332,0.0178255497374818,3,0.01
"117",4,NA,0.00888349472227395,NA,0,0.01
"118",6,0.0116888820465005,0.0245073727899805,0.0274308074474038,3,0.01
"119",10,NA,0.0084084896602668,NA,0,0.01
"120",2,NA,0.011635678740559,NA,0,0.01
"121",2,NA,0.000233744553673169,NA,0,0.01
"122",5,-0.0481075757317151,-0.0405011873223837,-0.0392609556398834,3,0.01
"123",2,NA,0.00386256735191121,NA,0,0.01
"124",5,NA,-0.000237675031107564,NA,0,0.01
"125",5,NA,0.0273324764625756,NA,0,0.01
"126",4,NA,0.0554344784376601,NA,0,0.01
"127",7,0.0302343795358075,0.00893396236962374,0.0466036379316779,3,0.01
"128",8,0.0263566891562599,0.0395125323225112,0.0357085779333021,3,0.01
"129",3,NA,0.000203665911411765,NA,0,0.01
"130",2,-0.0020589762238819,-0.00204011097988834,-0.00880446755983099,3,0.01
"131",4,NA,-0.0511982636917842,NA,0,0.01
"132",6,NA,-0.0148538505064537,NA,0,0.01
"133",4,NA,-0.00202090312614394,NA,0,0.01
"134",2,NA,0.000263731445019215,NA,0,0.01
"135",1,-0.000801974856490595,NA,NA,0,0.01
"136",1,-0.00238144987190047,-0.000546922683570746,-0.000860122519847597,3,0.01
"137",1,-0.0776006673360481,-0.0665679304286534,-0.0663403361489436,3,0.01
"138",2,NA,0.0380924681330873,NA,0,0.01
"139",3,0.114358365000548,0.033994694192405,0.124541705670315,3,0.01
"140",4,NA,0.00913386957565619,NA,0,0.01
"141",2,0.000344442830333555,NA,NA,0,0.01
"142",2,0.0117938083511672,NA,0.00669768789509849,0,0.01
"143",10,0.0384719896004201,NA,0.0288534300290069,0,0.01
"144",5,NA,0.000363105591362053,0.000510066055860739,2,0.01
"145",1,NA,-0.0277343334791131,NA,0,0.01
"146",1,0.000438168098355143,NA,NA,0,0.01
"147",1,0.014277914155964,NA,0.000363885196895383,0,0.01
"148",3,0.0579423841178562,0.0616579932316475,0.0483211243862708,3,0.01
"149",5,0.0600340784375136,0.0597862442545614,0.0364048233001195,3,0.01
"150",6,-0.0270099184346438,-0.0476556990613797,-0.0239622158274676,3,0.01
"151",3,NA,0.000519030694466425,NA,0,0.01
"152",6,NA,0.0320737867122908,0.0198321037674931,2,0.01
"153",3,-0.0355918607986955,-0.0124828599301334,-0.0395628798751269,3,0.01
"154",4,-0.0374694347713703,-0.017672609207513,-0.0269362052747064,3,0.01
"155",5,-0.0157157367579221,-0.0121859978974804,-0.0171077154038693,3,0.01
"156",6,-0.00673394797733578,-0.0158560695753929,NA,1,0.01
"157",7,-0.0119630299800783,-0.021390801538997,-0.013393026674889,3,0.01
"158",9,-0.114699055746419,-0.139512045217322,-0.137130042562565,3,0.01
"159",2,NA,0.0201563063357905,NA,0,0.01
"160",8,-0.0073934670191162,-0.00702183844352905,-0.00792546252958887,3,0.01
