"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",0,0,0,0,0.115343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093021,0,0,0,0,-0.267932,0,0,0,0,0,-0.039407,0,0.089538,0,0,0.189942,0,0,0,0,0,0,0,0,0,0,0.045043,0,-0.278785,0,0,0,0,0,0,0.447391,0,-0.174986,0,0,0,0,-0.439117,0,0,0,1,0,0,0,0,0,0,0,-0.164721,0,0,0,0,0,0,-0.073636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0.140636,0,0,-0.030776,0,0,0,0,0,0,0.078635,0,0,0,0,-0.024547,0,0,0,0,0,0,0,0,-0.229107,0,-0.161914,0,0,0,0,0,0,0,0,-0.152136,0,0,0,0,0,0,0,0,-0.073741,0,0,0.044453,0,0,0,0,0,0,0,-0.437351,0,0,0,0,0,-0.01052,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.10524,-0.096269,0,0,0,0,0,0,0,0,0.133447,0,0,0,0,0.028853,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,-0.232572,0,0,-0.291078,0.102015,0,-0.086758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644536,0,0,0,0,0,0,0,0,0,-0.220456,0,0,0,0.391039,0,0,0,0,0,0,0.304744,0,0,0,0.19357,0,0,0,-0.040104,0,0,0.648998,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.090162,0,0,0,-0.578509,0,0.347868,0,0,0,0,0,-0.560358,0,0,-0.088957,0
"76",0,0.178461,0,0,0,0,0,0.418993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092145,0,0,-0.272184,0,0,0,0.219483,0,-0.265726,0,0,0,0,0,0,0,0,0,0,0.181751,0,0,0,0,0,0.104851,0,0,0,0,0,0,0,0,0,0,0,0,1,0.555005,0,-0.100189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.46245
"77",0,0.216255,0,0,0,0,0,0.568252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111659,0,0,-0.360698,0,0,0,0.040756,0,-0.258047,0,0,0,0,0,0,0,0,0,0,0.194367,0,0,0,0,0,0.138948,0,0,0,0,0,0,0,0,0,0,0,0,0.555005,1,0,-0.097294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.431674
"78",0,0,0,0,-0.069826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056312,0,0,0,0,0.113633,0,0,0,0,0,0.020143,0,-0.045768,0,0,-0.114987,0,0,0,0,0,0,0,0,0,0,-0.027268,0,0.183985,0,0,0,0,0,0,-0.368181,0,0.089445,0,0,0,0,0.097887,0,0,0,-0.164721,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.03764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
