"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"108",10,NA,NA,-0.00283857055813956,0,0.1
"109",5,NA,NA,-0.000576447672988074,0,0.1
"110",9,NA,NA,-0.000629745609386747,0,0.1
"111",10,NA,NA,-0.00283348834486916,0,0.1
"112",5,NA,NA,-0.000518289581052433,0,0.1
"113",9,NA,NA,-0.000348724872393136,0,0.1
"114",10,NA,NA,-0.00145337776882782,0,0.1
"115",5,NA,NA,-0.000241766287340962,0,0.1
"116",9,NA,NA,-0.000210323209153736,0,0.1
"117",10,NA,NA,-0.00101720028341238,0,0.1
"118",9,NA,NA,-0.000307825654525809,0,0.1
"119",5,NA,NA,-0.00163713668924523,0,0.1
"120",9,NA,NA,-0.00170809972849049,0,0.1
"121",10,NA,NA,-0.00154633241971254,0,0.1
"122",5,NA,NA,-0.00162661954441591,0,0.1
"123",9,NA,NA,-0.00121600197603789,0,0.1
"124",10,NA,NA,-0.00638006354025389,0,0.1
"125",5,NA,NA,-0.000290415208356126,0,0.1
"126",10,NA,NA,-0.00035637477944299,0,0.1
"127",5,NA,NA,-0.0016671002214411,0,0.1
"128",9,NA,NA,-0.00127791859316986,0,0.1
"129",10,NA,NA,-0.00357017770165513,0,0.1
"130",6,NA,NA,-0.000739868651364302,0,0.1
"131",6,NA,NA,-0.00104300764191294,0,0.1
"132",6,NA,NA,-0.000616431386782651,0,0.1
"133",6,NA,NA,-0.00159421345096125,0,0.1
"134",6,NA,NA,-0.000967507845651745,0,0.1
"135",6,NA,NA,-0.000243816509028414,0,0.1
"136",6,NA,NA,-0.000223016922431394,0,0.1
"137",4,NA,-0.0138245606560357,NA,0,0.1
"138",6,NA,NA,-0.0104684933753255,0,0.1
"139",6,NA,NA,-0.000345313855933541,0,0.1
"140",4,NA,-0.000754622450816986,NA,0,0.1
"141",6,NA,NA,-0.00182321445815782,0,0.1
"142",7,-0.0367529801846715,-0.0141292072314204,NA,1,0.1
"143",9,NA,-0.000961515203157522,NA,0,0.1
"144",7,-0.0016037253314405,-0.000271438638514339,NA,1,0.1
"145",3,0.0275363603571638,0.0202731651207947,0.0322524744097815,3,0.1
"146",2,NA,0.020939175005254,NA,0,0.1
"147",3,0.0609426802638656,0.0767575308393206,0.0632156735117244,3,0.1
"148",7,0.0818370866486176,0.0735239587925883,0.0563898238714085,3,0.1
"149",9,NA,0.0259500547615651,0.00331401924002334,2,0.1
"150",2,-0.000456053296126441,-0.00179572384392738,NA,1,0.1
"151",2,0.0108728643828871,0.037335188729888,NA,1,0.1
"152",7,0.108569051729097,0.0800612146131692,0.0776492651507682,3,0.1
"153",6,0.111457413656941,0.132532890120239,0.0743451016182566,3,0.1
"154",7,0.0726599890313685,0.0832508387708159,0.0406185885955992,3,0.1
"155",8,0.0866255256374242,0.0856968794070074,0.0642589163128186,3,0.1
"156",10,0.0771840755717201,0.0968695132196476,0.0429852599765115,3,0.1
"157",1,NA,0.00151979766366117,NA,0,0.1
"158",2,0.0770077479224585,0.0555454991218062,NA,1,0.1
"159",2,NA,0.00538969804589184,NA,0,0.1
"160",10,0.00692609675679945,NA,NA,0,0.1
"161",7,0.00172772585544984,NA,NA,0,0.1
"162",1,NA,NA,0.0377085867846173,0,0.1
"163",2,NA,NA,0.0258032603543634,0,0.1
"164",3,NA,NA,0.0653123626505787,0,0.1
"165",4,NA,NA,0.158393118751223,0,0.1
"166",5,NA,NA,0.052185386818607,0,0.1
"167",6,NA,NA,0.0150713977308733,0,0.1
"168",7,NA,NA,0.128838749895593,0,0.1
"169",8,NA,NA,0.135724929728198,0,0.1
"170",9,NA,NA,0.00995700218503414,0,0.1
"171",10,NA,NA,0.0702253135306412,0,0.1
"172",1,NA,NA,0.194949894159149,0,0.1
"173",2,NA,NA,0.0740482164784764,0,0.1
"174",3,NA,NA,0.0327250232073907,0,0.1
"175",4,NA,NA,0.0841729156658007,0,0.1
"176",5,NA,NA,0.0409244514591937,0,0.1
"177",6,NA,NA,0.0552701513812325,0,0.1
"178",7,NA,NA,0.100514426564892,0,0.1
"179",8,NA,NA,0.0701154120993217,0,0.1
"180",9,NA,NA,0.0403836458239881,0,0.1
"181",10,NA,NA,0.0700996119556974,0,0.1
"182",1,NA,NA,0.111694278073543,0,0.1
"183",2,NA,NA,0.033020559298024,0,0.1
"184",3,NA,NA,0.0397479594923125,0,0.1
"185",4,NA,NA,0.0259048064645611,0,0.1
"186",5,NA,NA,0.0367957945521567,0,0.1
"187",6,NA,NA,0.023172914181322,0,0.1
"188",7,NA,NA,0.0339694022014214,0,0.1
"189",8,NA,NA,0.0671490759330497,0,0.1
"190",9,NA,NA,0.0223626550952483,0,0.1
"191",10,NA,NA,0.0359561134775373,0,0.1
"192",1,NA,NA,0.108290875576594,0,0.1
"193",2,NA,NA,0.0224699390087343,0,0.1
"194",3,NA,NA,0.0112268677485962,0,0.1
"195",4,NA,NA,0.0123146950431946,0,0.1
"196",5,NA,NA,0.0171640372717981,0,0.1
"197",6,NA,NA,0.021886563990179,0,0.1
"198",7,NA,NA,0.022693819192737,0,0.1
"199",8,NA,NA,0.030033898799875,0,0.1
"200",9,NA,NA,0.0134873865120109,0,0.1
"201",10,NA,NA,0.0251652138727946,0,0.1
"202",1,NA,NA,0.00884687906240021,0,0.1
"203",2,NA,NA,0.00685282809925299,0,0.1
"204",3,NA,NA,0.0927462715727798,0,0.1
"205",4,NA,NA,0.0501534783637861,0,0.1
"206",5,NA,NA,0.00685518827607888,0,0.1
"207",6,NA,NA,0.00433686599300049,0,0.1
"208",7,NA,NA,0.00400485859335759,0,0.1
"209",8,NA,NA,0.0152561441813136,0,0.1
"210",9,NA,NA,0.0197398978172326,0,0.1
"211",10,NA,NA,0.00362682729630658,0,0.1
"212",1,NA,NA,0.0119318939433646,0,0.1
"213",2,NA,NA,0.0918195951689369,0,0.1
"214",3,NA,NA,0.13824038142594,0,0.1
"215",4,NA,NA,0.0570307626895858,0,0.1
"216",5,NA,NA,0.116226963074101,0,0.1
"217",6,NA,NA,0.0791998352393497,0,0.1
"218",7,NA,NA,0.034893685029764,0,0.1
"219",8,NA,NA,0.0925124048189118,0,0.1
