"","Source","Sink","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","Connectance"
"84","sp12","sp21",1,NA,NA,-0.0382507806928078,0,0.1
"85","sp12","sp22",1,NA,NA,-0.00141249713648477,0,0.1
"86","sp12","sp23",1,NA,NA,-0.00555660225923887,0,0.1
"87","sp12","sp24",1,NA,NA,-0.00604993386169588,0,0.1
"88","sp12","sp25",1,NA,NA,-0.00360669088550548,0,0.1
"89","sp12","sp26",1,NA,NA,-0.000416928947156093,0,0.1
"90","sp12","sp27",1,NA,NA,-0.000737140216445425,0,0.1
"91","sp12","sp28",1,NA,NA,-0.000276173673941101,0,0.1
"92","sp12","sp29",1,NA,NA,-0.000397856145964525,0,0.1
"93","sp12","sp30",1,NA,NA,-0.00652903312646437,0,0.1
"94","sp12","sp33",7,-0.000342695866334101,-0.000992435194999408,NA,1,0.1
"95","sp12","sp33",8,NA,-0.00263453568088597,NA,0,0.1
"96","sp12","sp33",10,-0.000794055841466839,NA,NA,0,0.1
"97","sp12","sp40",1,NA,NA,0.00151950860611447,0,0.1
"98","sp12","sp46",1,NA,NA,0.000237557711591619,0,0.1
"99","sp13","sp15",4,0.0142575060642992,NA,NA,0,0.1
"100","sp13","sp28",5,NA,NA,-0.000301768218587953,0,0.1
"101","sp13","sp29",6,0.00987445135017956,NA,NA,0,0.1
"102","sp13","sp40",5,NA,NA,0.0359145832624236,0,0.1
"103","sp14","sp21",5,NA,NA,-0.0199738335317053,0,0.1
"104","sp14","sp21",6,-0.0122638179309862,-0.0122773379962929,NA,1,0.1
"105","sp14","sp21",9,NA,NA,-0.0221668300811627,0,0.1
"106","sp14","sp21",10,-0.0311127340760788,-0.0243236321636127,-0.0572461701101789,3,0.1
"107","sp14","sp22",5,NA,NA,-0.000735066163134814,0,0.1
"108","sp14","sp22",10,NA,NA,-0.00283857055813956,0,0.1
"109","sp14","sp23",5,NA,NA,-0.000576447672988074,0,0.1
"110","sp14","sp23",9,NA,NA,-0.000629745609386747,0,0.1
"111","sp14","sp23",10,NA,NA,-0.00283348834486916,0,0.1
"112","sp14","sp24",5,NA,NA,-0.000518289581052433,0,0.1
"113","sp14","sp24",9,NA,NA,-0.000348724872393136,0,0.1
"114","sp14","sp24",10,NA,NA,-0.00145337776882782,0,0.1
"115","sp14","sp25",5,NA,NA,-0.000241766287340962,0,0.1
"116","sp14","sp25",9,NA,NA,-0.000210323209153736,0,0.1
"117","sp14","sp25",10,NA,NA,-0.00101720028341238,0,0.1
"118","sp14","sp26",9,NA,NA,-0.000307825654525809,0,0.1
"119","sp14","sp27",5,NA,NA,-0.00163713668924523,0,0.1
"120","sp14","sp27",9,NA,NA,-0.00170809972849049,0,0.1
"121","sp14","sp27",10,NA,NA,-0.00154633241971254,0,0.1
"122","sp14","sp28",5,NA,NA,-0.00162661954441591,0,0.1
"123","sp14","sp28",9,NA,NA,-0.00121600197603789,0,0.1
"124","sp14","sp28",10,NA,NA,-0.00638006354025389,0,0.1
"125","sp14","sp29",5,NA,NA,-0.000290415208356126,0,0.1
"126","sp14","sp29",10,NA,NA,-0.00035637477944299,0,0.1
"127","sp14","sp30",5,NA,NA,-0.0016671002214411,0,0.1
"128","sp14","sp30",9,NA,NA,-0.00127791859316986,0,0.1
"129","sp14","sp30",10,NA,NA,-0.00357017770165513,0,0.1
"130","sp15","sp21",6,NA,NA,-0.000739868651364302,0,0.1
"131","sp15","sp22",6,NA,NA,-0.00104300764191294,0,0.1
"132","sp15","sp23",6,NA,NA,-0.000616431386782651,0,0.1
"133","sp15","sp24",6,NA,NA,-0.00159421345096125,0,0.1
"134","sp15","sp25",6,NA,NA,-0.000967507845651745,0,0.1
"135","sp15","sp26",6,NA,NA,-0.000243816509028414,0,0.1
"136","sp15","sp27",6,NA,NA,-0.000223016922431394,0,0.1
"137","sp15","sp28",4,NA,-0.0138245606560357,NA,0,0.1
"138","sp15","sp28",6,NA,NA,-0.0104684933753255,0,0.1
"139","sp15","sp29",6,NA,NA,-0.000345313855933541,0,0.1
"140","sp15","sp30",4,NA,-0.000754622450816986,NA,0,0.1
"141","sp15","sp30",6,NA,NA,-0.00182321445815782,0,0.1
"142","sp15","sp31",7,-0.0367529801846715,-0.0141292072314204,NA,1,0.1
"143","sp15","sp31",9,NA,-0.000961515203157522,NA,0,0.1
"144","sp15","sp35",7,-0.0016037253314405,-0.000271438638514339,NA,1,0.1
"145","sp15","sp42",3,0.0275363603571638,0.0202731651207947,0.0322524744097815,3,0.1
"146","sp15","sp47",2,NA,0.020939175005254,NA,0,0.1
"147","sp15","sp47",3,0.0609426802638656,0.0767575308393206,0.0632156735117244,3,0.1
"148","sp15","sp47",7,0.0818370866486176,0.0735239587925883,0.0563898238714085,3,0.1
"149","sp15","sp47",9,NA,0.0259500547615651,0.00331401924002334,2,0.1
"150","sp16","sp35",2,-0.000456053296126441,-0.00179572384392738,NA,1,0.1
"151","sp16","sp48",2,0.0108728643828871,0.037335188729888,NA,1,0.1
"152","sp16","sp48",7,0.108569051729097,0.0800612146131692,0.0776492651507682,3,0.1
"153","sp18","sp33",6,0.111457413656941,0.132532890120239,0.0743451016182566,3,0.1
"154","sp18","sp33",7,0.0726599890313685,0.0832508387708159,0.0406185885955992,3,0.1
"155","sp18","sp33",8,0.0866255256374242,0.0856968794070074,0.0642589163128186,3,0.1
"156","sp18","sp33",10,0.0771840755717201,0.0968695132196476,0.0429852599765115,3,0.1
"157","sp18","sp42",1,NA,0.00151979766366117,NA,0,0.1
"158","sp19","sp49",2,0.0770077479224585,0.0555454991218062,NA,1,0.1
"159","sp20","sp23",2,NA,0.00538969804589184,NA,0,0.1
"160","sp20","sp23",10,0.00692609675679945,NA,NA,0,0.1
"161","sp20","sp41",7,0.00172772585544984,NA,NA,0,0.1
"162","sp21","sp22",1,NA,NA,0.0377085867846173,0,0.1
"163","sp21","sp22",2,NA,NA,0.0258032603543634,0,0.1
"164","sp21","sp22",3,NA,NA,0.0653123626505787,0,0.1
"165","sp21","sp22",4,NA,NA,0.158393118751223,0,0.1
"166","sp21","sp22",5,NA,NA,0.052185386818607,0,0.1
"167","sp21","sp22",6,NA,NA,0.0150713977308733,0,0.1
"168","sp21","sp22",7,NA,NA,0.128838749895593,0,0.1
"169","sp21","sp22",8,NA,NA,0.135724929728198,0,0.1
"170","sp21","sp22",9,NA,NA,0.00995700218503414,0,0.1
"171","sp21","sp22",10,NA,NA,0.0702253135306412,0,0.1
"172","sp21","sp23",1,NA,NA,0.194949894159149,0,0.1
"173","sp21","sp23",2,NA,NA,0.0740482164784764,0,0.1
"174","sp21","sp23",3,NA,NA,0.0327250232073907,0,0.1
"175","sp21","sp23",4,NA,NA,0.0841729156658007,0,0.1
"176","sp21","sp23",5,NA,NA,0.0409244514591937,0,0.1
"177","sp21","sp23",6,NA,NA,0.0552701513812325,0,0.1
"178","sp21","sp23",7,NA,NA,0.100514426564892,0,0.1
"179","sp21","sp23",8,NA,NA,0.0701154120993217,0,0.1
"180","sp21","sp23",9,NA,NA,0.0403836458239881,0,0.1
"181","sp21","sp23",10,NA,NA,0.0700996119556974,0,0.1
"182","sp21","sp24",1,NA,NA,0.111694278073543,0,0.1
"183","sp21","sp24",2,NA,NA,0.033020559298024,0,0.1
"184","sp21","sp24",3,NA,NA,0.0397479594923125,0,0.1
"185","sp21","sp24",4,NA,NA,0.0259048064645611,0,0.1
"186","sp21","sp24",5,NA,NA,0.0367957945521567,0,0.1
