"","Time","L_Edge_weight","O_Edge_weight","Cov_Edge_weight","Recovery","TaxaSize"
"5392","1",0.0277681435508948,NA,NA,0,100
"5393","7",NA,NA,-0.000203027496999626,0,100
"5394","8",NA,NA,-0.000206133063390696,0,100
"5395","10",NA,NA,-0.000508719251076909,0,100
"5396","10",NA,NA,-0.000241018443661982,0,100
"5397","10",NA,NA,-0.000224761854155165,0,100
"5398","1",-0.00129195189149639,NA,NA,0,100
"5399","6",NA,NA,-0.00069834483955048,0,100
"5400","7",NA,NA,-0.00066551997659711,0,100
"5401","8",NA,NA,-0.00183491589689337,0,100
"5402","10",NA,NA,-0.0018385736383556,0,100
"5403","8",NA,NA,-0.000272435829445015,0,100
"5404","6",NA,NA,-0.000425229078378339,0,100
"5405","7",NA,NA,-0.00772217330304171,0,100
"5406","8",NA,NA,-0.00787221969722232,0,100
"5407","10",NA,NA,-0.00184566170037523,0,100
"5408","7",NA,NA,-0.000678700649283939,0,100
"5409","8",NA,NA,-0.000679967462598136,0,100
"5410","10",NA,NA,-0.000248647915576189,0,100
"5411","7",NA,NA,-0.00035409347470231,0,100
"5412","8",NA,NA,-0.000212189029275181,0,100
"5413","7",NA,NA,-0.000210606736197394,0,100
"5414","8",NA,NA,-0.00026639196299347,0,100
"5415","2",0.071130188089349,0.0674602287904344,NA,1,100
"5416","6",NA,NA,-0.000235849166805361,0,100
"5417","7",NA,NA,-0.000641372263886291,0,100
"5418","8",NA,NA,-0.000648700082585238,0,100
"5419","10",NA,NA,-0.000915299856907023,0,100
"5420","1",-0.024031821633513,-0.00111956732060142,NA,1,100
"5421","1",0.000258703204802877,NA,NA,0,100
"5422","7",NA,NA,-0.000421354873013841,0,100
"5423","8",NA,NA,-0.000789990875605489,0,100
"5424","7",NA,NA,-0.000624023927132841,0,100
"5425","8",NA,NA,-0.000211597498445384,0,100
"5426","10",NA,NA,-0.000232339121945233,0,100
"5427","7",NA,NA,-0.00125910023385121,0,100
"5428","8",NA,NA,-0.000676844636015605,0,100
"5429","10",NA,NA,-0.000441340919451938,0,100
"5430","6",NA,NA,-0.00622796228785847,0,100
"5431","7",NA,NA,-0.000266476360632081,0,100
"5432","8",NA,NA,-0.00363290735483664,0,100
"5433","10",NA,NA,-0.0159343687949312,0,100
"5434","7",NA,NA,-0.000414465715905114,0,100
"5435","10",NA,NA,-0.000295359185211381,0,100
"5436","1",0.012066627973269,NA,NA,0,100
"5437","6",NA,NA,0.000229295611712506,0,100
"5438","7",NA,NA,0.000404939844603816,0,100
"5439","8",NA,NA,0.000270857414503496,0,100
"5440","2",NA,-0.000770100869610001,NA,0,100
"5441","1",-0.0214554889197064,-0.00665743653555338,NA,1,100
"5442","2",NA,NA,0.000492944163953965,0,100
"5443","3",NA,0.000535570243070784,0.00337207373009353,2,100
"5444","6",NA,NA,0.000797272944342665,0,100
"5445","9",NA,NA,0.00262340562685084,0,100
"5446","10",NA,NA,0.00371636517603631,0,100
"5447","2",-0.0016909483567859,-0.00257167114655557,NA,1,100
"5448","5",-0.0612755010424163,-0.0573159945860974,NA,1,100
"5449","6",NA,-0.0283153070049636,NA,0,100
"5450","7",-0.0440341822027125,-0.035389853992732,NA,1,100
"5451","10",NA,NA,0.000424350580292542,0,100
"5452","3",0.00115981566946505,0.00118942942670715,NA,1,100
"5453","7",-0.000202582261570819,-0.000332752106521063,NA,1,100
"5454","2",NA,NA,-0.00240308057153176,0,100
"5455","3",NA,NA,-0.00891949484266699,0,100
"5456","6",NA,NA,-0.00641756048819493,0,100
"5457","7",NA,NA,-0.0142039946624682,0,100
"5458","9",NA,NA,-0.00319438418585317,0,100
"5459","10",-0.00128085473917566,-0.00292764460254792,-0.0205976513782769,3,100
"5460","2",NA,NA,-0.000319761004038466,0,100
"5461","3",0.00150701887580741,0.000574903277371079,-0.00160893403591405,3,100
"5462","6",NA,NA,-0.000551870509666791,0,100
"5463","7",NA,NA,-0.00170010674708265,0,100
"5464","9",NA,NA,-0.000400436556562201,0,100
"5465","10",NA,NA,-0.00345517444942876,0,100
"5466","2",NA,NA,-0.000792794004525635,0,100
"5467","3",NA,NA,-0.00139188753907237,0,100
"5468","6",NA,NA,-0.00143753103611212,0,100
"5469","7",NA,NA,-0.00226766129512699,0,100
"5470","10",NA,NA,-0.00322457091716677,0,100
"5471","2",NA,NA,-0.00171628862414068,0,100
"5472","3",NA,NA,-0.0016492696932454,0,100
"5473","6",NA,NA,-0.00117519566280172,0,100
"5474","7",NA,NA,-0.00679781311314287,0,100
"5475","9",NA,NA,-0.00090814282970476,0,100
"5476","10",NA,NA,-0.0086497866148384,0,100
"5477","2",-0.0577151571285795,-0.0525772275116101,-0.00271926883307713,3,100
"5478","3",NA,NA,-0.0106323842221036,0,100
"5479","6",-0.0103072270259628,-0.044456138355583,-0.0238043800873108,3,100
"5480","7",NA,NA,-0.0164251316424423,0,100
"5481","8",-0.00210480892595988,NA,NA,0,100
"5482","9",NA,NA,-0.000446450869847617,0,100
"5483","10",-0.00526328320303066,NA,-0.0213799903628719,0,100
"5484","2",NA,NA,-0.000309623790775738,0,100
"5485","3",NA,NA,-0.00253341642445238,0,100
"5486","6",NA,NA,-0.0022003258684303,0,100
"5487","7",NA,NA,-0.00180867322750753,0,100
"5488","9",NA,NA,-0.00157323616933863,0,100
"5489","10",NA,NA,-0.00658881244457348,0,100
"5490","2",NA,NA,-0.000384517116402299,0,100
"5491","3",NA,NA,-0.00144319361922316,0,100
"5492","6",NA,NA,-0.000852315623915676,0,100
"5493","7",NA,NA,-0.00635787332446748,0,100
"5494","9",NA,NA,-0.000466139622862623,0,100
"5495","10",NA,NA,-0.00259381899176023,0,100
"5496","2",NA,NA,-0.0017406425258281,0,100
"5497","3",-0.000406184996440237,NA,-0.0126050510096469,0,100
"5498","5",-0.000735099042724677,-0.0063904164819006,NA,1,100
"5499","6",-0.00103785104614084,-0.000961422482188114,-0.00447468991451734,3,100
"5500","7",-0.0286353864322596,-0.00719846478727343,-0.0205705045513881,3,100
"5501","8",-0.00227599723023561,-0.000390198816532273,NA,1,100
"5502","9",NA,NA,-0.00514300690756029,0,100
"5503","10",-0.00111561829883879,-0.00323849602786025,-0.0129475254168181,3,100
"5504","2",NA,NA,-0.000321360440817984,0,100
"5505","3",NA,NA,-0.00230239796722487,0,100
"5506","6",NA,NA,-0.000846859148036166,0,100
"5507","7",NA,NA,-0.00305959724982546,0,100
"5508","9",NA,NA,-0.000978811029332472,0,100
"5509","10",NA,NA,-0.00310488099585591,0,100
"5510","2",NA,NA,-0.00198962097149886,0,100
"5511","3",NA,NA,-0.00590246974270927,0,100
"5512","6",NA,NA,-0.00489450704675809,0,100
"5513","7",NA,NA,-0.0234636283096063,0,100
"5514","9",NA,NA,-0.00104686474653723,0,100
"5515","10",NA,NA,-0.0108444793811085,0,100
"5516","2",NA,NA,-0.00118213490852308,0,100
"5517","3",NA,NA,-0.00525564079078415,0,100
"5518","6",NA,NA,-0.000743164216630187,0,100
"5519","7",NA,NA,-0.00920791011763658,0,100
"5520","9",NA,NA,-0.00204246835912001,0,100
"5521","10",NA,NA,-0.00249031101155909,0,100
"5522","6",NA,NA,-0.000551575916360394,0,100
"5523","3",NA,NA,-0.000315710502690684,0,100
"5524","7",NA,NA,-0.000475955473952556,0,100
"5525","10",NA,NA,-0.00103039194321572,0,100
"5526","2",NA,NA,-0.00179603203208066,0,100
"5527","3",NA,NA,-0.000989021095612839,0,100
"5528","6",NA,NA,-0.00432895508486293,0,100
"5529","7",NA,NA,-0.00732542844661994,0,100
"5530","9",NA,NA,-0.00217900877973347,0,100
